contract_award_unique_key,award_id_piid,parent_award_id_piid,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award,base_and_all_options_value,potential_total_value_of_award,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,contract_bundling,naics_description,extent_competed,solicitation_procedures,type_of_set_aside,evaluated_preference,number_of_offers_received,commercial_item_acquisition_procedures,small_business_competitiveness_demonstration_program,performance_based_service_acquisition,multi_year_contract,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business
CONT_AWD_68HE0621P0009_6800_-NONE-_-NONE-,68HE0621P0009,,0,123315,0,123315,0,123315,DALLAS,TX,FIRM FIXED PRICE,NOT BUNDLED,"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,5,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,t,t,f,f,f,f,f,f,f,f
CONT_AWD_68HE0421F0016_6800_EPS41504_6800,68HE0421F0016,EPS41504,-16621.98,8378.02,-16621.98,8378.02,-16621.98,8378.02,MIDWAY,TN,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0014_6800_EPW15010_6800,0014,EPW15010,-32479.22,28890.78,-29072.07,141407.93,-29072.07,141407.93,SAN JOSE,CA,FIRM FIXED PRICE,NOT A BUNDLED REQUIREMENT,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0375_6800_EPW17013_6800,68HERH21F0375,EPW17013,50000,50000,85396.58,85396.58,85396.58,85396.58,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_68HE0320F0056_6800_68HE0318D0006_6800,68HE0320F0056,68HE0318D0006,58000,1071454.71,58000,1071454.71,58000,3490422.43,FALLS CREEK,PA,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,t,f,t,f,f,f,f
CONT_AWD_68HE0719F0194_6800_68HE0318D0005_6800,68HE0719F0194,68HE0318D0005,0,678910.81,0,700237.23,0,881427.56,LEWISVILLE,TX,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0121F0054_6800_68HE0121D0005_6800,68HE0121F0054,68HE0121D0005,1650000,1650000,1650000,1650000,1650000,1650000,SOUTH DARTMOUTH,MA,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0121F0052_6800_68HE0118A0003_6800,68HE0121F0052,68HE0118A0003,199988,199988,199988,199988,199988,199988,TRAVERSE CITY,MI,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0720F0178_6800_68HE0720D0009_6800,68HE0720F0178,68HE0720D0009,553009.46,3174344.48,553009.46,3174344.48,553009.46,3174344.48,WEBB CITY,MO,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERD20C0001_6800_-NONE-_-NONE-,68HERD20C0001,,0,1092100,0,2154615.75,0,3234038.61,CHAPEL HILL,NC,FIRM FIXED PRICE,NOT BUNDLED,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,8(A) SOLE SOURCE,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,t,t,t,t,f,f,t,f,f,f
CONT_AWD_68HERH21F0378_6800_68HE0318D0005_6800,68HERH21F0378,68HE0318D0005,406093.13,406093.13,406093.13,406093.13,1599527.5,1599527.5,DALLAS,TX,COST PLUS FIXED FEE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0320F0029_6800_EPBPA17R30001_6800,68HE0320F0029,EPBPA17R30001,33000,76320,33000,76320,33000,76320,PHILADELPHIA,PA,FIRM FIXED PRICE,NOT BUNDLED,"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC21F0043_6800_47QRAA20D002D_4732,68HERC21F0043,47QRAA20D002D,58072,654072,0,3117990.61,0,3117990.61,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,t,t,t,t,f,f,f,f,t,f
CONT_AWD_68HERC21F0457_6800_68HERC21D0015_6800,68HERC21F0457,68HERC21D0015,1075631,1075631,1075631,1075631,1075631,1075631,ATHENS,GA,FIRM FIXED PRICE,NOT BUNDLED,ENGINEERING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_EPG13H00561_6800_GS03F0151X_4732,EPG13H00561,GS03F0151X,-59629.29,7764505.43,0,10970010,0,11233010,ROCKVILLE,MD,FIRM FIXED PRICE,NOT A BUNDLED REQUIREMENT,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,4,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,t,t,t,t,f,f,f,t,f,f
CONT_AWD_68HERH19F0100_6800_EPW15010_6800,68HERH19F0100,EPW15010,-15244.36,326427.2,-15244.36,326427.2,-15244.36,354687.32,SAN JOSE,CA,FIRM FIXED PRICE,NOT BUNDLED,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0719C0002_6800_-NONE-_-NONE-,68HE0719C0002,,74807.15,2495349.81,0,2528809.21,0,3453192.31,SEATTLE,WA,FIRM FIXED PRICE,NOT BUNDLED,FACILITIES SUPPORT SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,8(A) SOLE SOURCE,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,f,f,f,f,t,f
CONT_AWD_68HERC21F0431_6800_68HERC21D0019_6800,68HERC21F0431,68HERC21D0019,3269407.41,3269407.41,3269407.41,3269407.41,3269407.41,3269407.41,DULUTH,MN,FIRM FIXED PRICE,NOT BUNDLED,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,t,f,f,f,f,t,f
CONT_AWD_68HERD21F0251_6800_NNG15SD33B_8000,68HERD21F0251,NNG15SD33B,13604.16,13604.16,13604.16,13604.16,13604.16,13604.16,SAN FRANCISCO,CA,FIRM FIXED PRICE,NOT BUNDLED,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,4,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21C0014_6800_-NONE-_-NONE-,68HERH21C0014,,200000,200000,306461.56,306461.56,3133655.28,3133655.28,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,OFFICE ADMINISTRATIVE SERVICES,NOT COMPETED,ONLY ONE SOURCE,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,t,t,t,t,f,f,t,f,f,f
CONT_AWD_68HERH20P0090_6800_-NONE-_-NONE-,68HERH20P0090,,0,23680,0,72506.32,0,172779.78,DENVER,CO,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,2,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0B21P0352_6800_-NONE-_-NONE-,68HE0B21P0352,,0,74097.89,0,74097.89,0,74097.89,FOLSOM,CA,FIRM FIXED PRICE,NOT BUNDLED,MOTOR AND GENERATOR MANUFACTURING,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0321F0096_6800_GS07F101DA_4732,68HE0321F0096,GS07F101DA,37211.53,37211.53,37211.53,37211.53,37211.53,37211.53,SIMI VALLEY,CA,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC21F0448_6800_GS35F576GA_4732,68HERC21F0448,GS35F576GA,131849.76,131849.76,131849.76,131849.76,257368.26,257368.26,GAITHERSBURG,MD,FIRM FIXED PRICE,NOT BUNDLED,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,t,f,t,f,f,f,f
CONT_AWD_68HE0721P0048_6800_-NONE-_-NONE-,68HE0721P0048,,106530.72,106530.72,106530.72,106530.72,106530.72,106530.72,KANSAS CITY,KS,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0290_6800_68HERH20A0002_6800,68HERH21F0290,68HERH20A0002,140417.04,143609.74,140417.04,143609.74,140417.04,143609.74,FLEMINGTON,NJ,TIME AND MATERIALS,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0009_6800_EPW16019_6800,0009,EPW16019,-125588,1508761,-125588,1508761,-125588,1508761,KNOXVILLE,TN,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,t,t,f,t,f,t,f,f,f,f
CONT_AWD_68HE0M21P0077_6800_-NONE-_-NONE-,68HE0M21P0077,,129870,129870,129870,129870,247870,247870,ANN ARBOR,MI,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0221F0081_6800_68HE0118D0010_6800,68HE0221F0081,68HE0118D0010,138390.56,138390.56,138390.56,138390.56,445888.21,445888.21,CHANTILLY,VA,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0321F0089_6800_GS07F101DA_4732,68HE0321F0089,GS07F101DA,44849.07,44849.07,44849.07,44849.07,44849.07,44849.07,FORT GEORGE G MEADE,MD,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0011_6800_EPW15010_6800,0011,EPW15010,-39241.64,25018.31,-39241.64,148666.37,-39241.64,148666.37,SAN JOSE,CA,FIRM FIXED PRICE,NOT A BUNDLED REQUIREMENT,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0007_6800_EPW15010_6800,0007,EPW15010,0,541070.5,0,541070.5,0,2571425.06,WASHINGTON,DC,FIRM FIXED PRICE,NOT A BUNDLED REQUIREMENT,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0007_6800_EPW15010_6800,0007,EPW15010,33481.86,541070.5,33481.86,541070.5,33481.86,2571425.06,WASHINGTON,DC,FIRM FIXED PRICE,NOT A BUNDLED REQUIREMENT,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0030_6800_EPW15010_6800,0030,EPW15010,-309.25,39160.45,-309.25,39160.45,-309.25,39160.45,SAN JOSE,CA,FIRM FIXED PRICE,NOT BUNDLED,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0045_6800_68HERH20D0011_6800,68HERH21F0045,68HERH20D0011,300000,9695033.45,300000,9913635.9,300000,9913635.9,MOUNTAINSIDE,NJ,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,t,t,f,f,f,f,f,f,f,f
CONT_AWD_0028_6800_EPW15010_6800,0028,EPW15010,-2224.88,40093.34,-2224.88,53464.22,-2224.88,58263.46,SAN JOSE,CA,FIRM FIXED PRICE,NOT BUNDLED,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC21F0161_6800_68HERC19A0001_6800,68HERC21F0161,68HERC19A0001,0,65069.02,0,65069.02,0,65069.02,SANDWICH,MA,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0121F0051_6800_68HE0318D0013_6800,68HE0121F0051,68HE0318D0013,738304.48,738304.48,738304.48,738304.48,738304.48,738304.48,STRATFORD,CT,COST PLUS FIXED FEE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,t,t,f,f,f,f,f
CONT_AWD_68HE0221F0069_6800_68HE0220D0001_6800,68HE0221F0069,68HE0220D0001,0,6600000,0,6600000,0,6600000,VERONA,KY,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0521F0154_6800_47QSWA20D0052_4732,68HE0521F0154,47QSWA20D0052,62000,62000,149000.16,149000.16,149000.16,149000.16,CHICAGO,IL,TIME AND MATERIALS,NOT BUNDLED,ENGINEERING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,t,f,f,t,f,f,f
