contract_award_unique_key,award_id_piid,parent_award_id_piid,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award,base_and_all_options_value,potential_total_value_of_award,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,contract_bundling,naics_description,extent_competed,solicitation_procedures,type_of_set_aside,evaluated_preference,number_of_offers_received,commercial_item_acquisition_procedures,small_business_competitiveness_demonstration_program,performance_based_service_acquisition,multi_year_contract,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business
CONT_AWD_68HE0720C0002_6800_-NONE-_-NONE-,68HE0720C0002,,0.0,10000.0,0.0,59500.04,0.0,178500.12,PORT ORCHARD,WA,FIRM FIXED PRICE,NOT BUNDLED,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,3.0,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_EP134000046_6800_-NONE-_-NONE-,EP134000046,,-2665.03,26084.81,-2665.03,26084.81,-2665.03,26084.81,ATHENS,GA,FIRM FIXED PRICE,NOT A BUNDLED REQUIREMENT,INDUSTRIAL GAS MANUFACTURING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,3.0,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH20P0162_6800_-NONE-_-NONE-,68HERH20P0162,,49440.0,49440.0,49440.0,49440.0,49440.0,49440.0,CARY,NC,FIRM FIXED PRICE,NOT BUNDLED,ALL OTHER INFORMATION SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO SET ASIDE USED.,NO PREFERENCE USED,3.0,SUPPLIES OR SERVICES PURSUANT TO FAR 12.102(F),f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0003_6800_EPS11601_6800,0003,EPS11601,2500000.0,3610000.0,2500000.0,3610000.0,2500000.0,3610000.0,LINCOLN,RI,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERD20P0100_6800_-NONE-_-NONE-,68HERD20P0100,,116985.0,116985.0,116985.0,116985.0,396790.0,396790.0,CHESTERFIELD,MO,FIRM FIXED PRICE,NOT BUNDLED,SOFTWARE PUBLISHERS,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1.0,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0320F0092_6800_68HE0318D0006_6800,68HE0320F0092,68HE0318D0006,419550.86,419550.86,762030.85,762030.85,1955171.77,1955171.77,RESTON,VA,COST PLUS FIXED FEE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,t,f,t,f,f,f,f
CONT_AWD_68HE0D18P0120_6800_-NONE-_-NONE-,68HE0D18P0120,,0.0,30000.0,0.0,30000.0,0.0,30000.0,COLLEGEVILLE,PA,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,3.0,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0519F0115_6800_EPS41602_6800,68HE0519F0115,EPS41602,350000.0,4182314.0,350000.0,4182314.0,350000.0,4182314.0,CHICAGO,IL,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0220F0052_6800_68HE0220D0003_6800,68HE0220F0052,68HE0220D0003,160000.0,174000.0,160000.0,174000.0,160000.0,174000.0,LIMESTONE,NY,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0021_6800_EPS91401_6800,0021,EPS91401,172037.61,2297679.12,172037.61,2297679.12,172037.61,2297679.12,SAN FRANCISCO,CA,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,ARCHITECT-ENGINEER FAR 6.102,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0009_6800_EPW16019_6800,0009,EPW16019,-400.0,1251626.0,-400.0,1251626.0,-400.0,1634349.0,KNOXVILLE,TN,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,t,t,f,t,f,t,f,f,f,f
CONT_AWD_68HERC20F0020_6800_68HERC19A0001_6800,68HERC20F0020,68HERC19A0001,0.0,378225.29,0.0,378225.29,0.0,378225.29,SANDWICH,MA,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC20F0084_6800_68HERC19A0001_6800,68HERC20F0084,68HERC19A0001,0.0,80980.18,0.0,80980.18,0.0,80980.18,SANDWICH,MA,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC20F0465_6800_EPC17008_6800,68HERC20F0465,EPC17008,1312630.9,1312630.9,1312630.9,1312630.9,1312630.9,1312630.9,NARRAGANSETT,RI,FIRM FIXED PRICE,NOT BUNDLED,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,t,f
CONT_AWD_68HERC20C0063_6800_-NONE-_-NONE-,68HERC20C0063,,919735.0,919735.0,1123935.2,1123935.2,3323079.36,3323079.36,ADA,OK,FIRM FIXED PRICE,NOT BUNDLED,FACILITIES SUPPORT SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,8(A) SOLE SOURCE,NO PREFERENCE USED,1.0,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,t,f,f,f,t,f,f
CONT_AWD_68HERC20F0005_6800_EPC17025_6800,68HERC20F0005,EPC17025,0.0,114368.77,0.0,114368.77,0.0,114368.77,DURHAM,NC,FIRM FIXED PRICE,NOT BUNDLED,ENGINEERING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_EPD14033_6800_-NONE-_-NONE-,EPD14033,,0.0,1660556.0,0.0,3049296.5,0.0,4686732.5,DURHAM,NC,COST PLUS FIXED FEE,NOT A BUNDLED REQUIREMENT,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,2.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0D18P0121_6800_-NONE-_-NONE-,68HE0D18P0121,,5489.0,15569.0,5489.0,15569.0,5489.0,15569.0,DURHAM,NC,FIRM FIXED PRICE,NOT BUNDLED,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1.0,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0520F0072_6800_EPR51504_6800,68HE0520F0072,EPR51504,3929.8,3522164.8,3929.8,3522164.8,3929.8,3522164.8,DETROIT,MI,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0720F0174_6800_GS03F0057V_4730,68HE0720F0174,GS03F0057V,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,DUBLIN,OH,FIRM FIXED PRICE,NOT BUNDLED,ALL OTHER BUSINESS SUPPORT SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,4.0,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,t,t,f,f,f,f,f
CONT_AWD_68HE0120F0031_6800_68HE0118A0003_6800,68HE0120F0031,68HE0118A0003,176227.0,176227.0,176227.0,176227.0,176227.0,176227.0,BOSTON,MA,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2.0,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0820F0043_6800_NNG15SD79B_8000,68HE0820F0043,NNG15SD79B,0.0,27354.36,0.0,27354.36,0.0,27354.36,DENVER,CO,FIRM FIXED PRICE,NOT BUNDLED,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,4.0,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,t,t,f,f,f,f,f
CONT_AWD_EPW12011_6800_-NONE-_-NONE-,EPW12011,,0.0,4642182.74,0.0,6439077.74,0.0,7525897.74,DURHAM,NC,COST PLUS FIXED FEE,NOT A BUNDLED REQUIREMENT,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,1.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_EPD16020_6800_-NONE-_-NONE-,EPD16020,,30000.0,956314.66,0.0,1933236.0,0.0,2988505.0,CINCINNATI,OH,COST PLUS FIXED FEE,NOT A BUNDLED REQUIREMENT,ENVIRONMENTAL CONSULTING SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,8(A) SOLE SOURCE,NO PREFERENCE USED,1.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_0030_6800_EPW15010_6800,0030,EPW15010,4524.2,39469.7,4524.2,39469.7,0.0,39469.7,SAN JOSE,CA,FIRM FIXED PRICE,NOT BUNDLED,TELECOMMUNICATIONS RESELLERS,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0320P0026_6800_-NONE-_-NONE-,68HE0320P0026,,0.0,32742.1,0.0,32742.1,0.0,103219.47,FORT GEORGE G MEADE,MD,FIRM FIXED PRICE,NOT BUNDLED,AUDIO AND VIDEO EQUIPMENT MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,NO SET ASIDE USED.,NO PREFERENCE USED,1.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_EPG17H01433_6800_GS35F0166V_4730,EPG17H01433,GS35F0166V,175000.0,3864018.35,513700.0,4876281.33,0.0,4876281.33,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,COMPUTER FACILITIES MANAGEMENT SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,10.0,COMMERCIAL ITEM,f,NOT APPLICABLE,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0005_6800_EPS91301_6800,0005,EPS91301,176021.0,2387943.73,210421.0,4465018.0,210421.0,4465018.0,SAN FRANCISCO,CA,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,ARCHITECT-ENGINEER FAR 6.102,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,t,f,f,f,f,t,f
CONT_AWD_68HE0519C0001_6800_-NONE-_-NONE-,68HE0519C0001,,0.0,248477.25,0.0,248477.25,0.0,248477.25,CHICAGO,IL,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,8(A) SOLE SOURCE,NO PREFERENCE USED,1.0,SUPPLIES OR SERVICES PURSUANT TO FAR 12.102(F),f,YES - SERVICE WHERE PBA IS USED.,NO,t,t,t,t,t,f,f,f,f,f
CONT_AWD_68HE0519C0001_6800_-NONE-_-NONE-,68HE0519C0001,,0.0,248477.25,0.0,248477.25,0.0,248477.25,CHICAGO,IL,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,8(A) SOLE SOURCE,NO PREFERENCE USED,1.0,SUPPLIES OR SERVICES PURSUANT TO FAR 12.102(F),f,YES - SERVICE WHERE PBA IS USED.,NO,t,t,t,t,t,f,f,f,f,f
CONT_AWD_68HE0720F0182_6800_68HE0718D0003_6800,68HE0720F0182,68HE0718D0003,150.84,27033.5,150.84,27033.5,150.84,27033.5,NEW HAVEN,MO,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH19F0328_6800_GS00Q17GWD2285_4732,68HERH19F0328,GS00Q17GWD2285,-8182.62,225780.38,0.0,233963.0,0.0,233963.0,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,COMPUTER SYSTEMS DESIGN SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,8(A) SOLE SOURCE,NO PREFERENCE USED,1.0,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,t,t,t,t,f,f,f,t,f,f
CONT_AWD_68HE0B20P0494_6800_-NONE-_-NONE-,68HE0B20P0494,,14401.1,14401.1,14401.1,14401.1,14401.1,14401.1,FAIRFIELD,NJ,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,5.0,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0009_6800_EPS91301_6800,0009,EPS91301,472676.0,3099313.0,472676.0,3099313.0,472676.0,3410342.0,SAN FRANCISCO,CA,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,ARCHITECT-ENGINEER FAR 6.102,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,t,f,f,f,f,t,f
CONT_AWD_EPG16900295_6800_GS06F0938Z_4732,EPG16900295,GS06F0938Z,-3519.18,363401.47,-3519.18,363401.47,-3519.18,363401.47,SAN FRANCISCO,CA,FIRM FIXED PRICE,NOT A BUNDLED REQUIREMENT,COMPUTER SYSTEMS DESIGN SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,8(A) SOLE SOURCE,NO PREFERENCE USED,1.0,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,t,f,f,t,f,f,f,f,f,t
CONT_AWD_68HERC20F0461_6800_EPC17028_6800,68HERC20F0461,EPC17028,251609.66,251609.66,251609.66,251609.66,251609.66,251609.66,ATHENS,GA,FIRM FIXED PRICE,NOT BUNDLED,ENGINEERING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,1.0,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,t,f,f,f,t,f,f
CONT_AWD_EPG15D00340_6800_GS10F0181K_4730,EPG15D00340,GS10F0181K,75000.0,13496480.47,75000.0,22436722.57,75000.0,26209999.97,PETALUMA,CA,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,1.0,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERD20F0095_6800_GS35F0119W_4730,68HERD20F0095,GS35F0119W,0.0,14394.67,0.0,14394.67,0.0,14394.67,WASHINGTON,DC,FIRM FIXED PRICE,NOT BUNDLED,SOFTWARE PUBLISHERS,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,6.0,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERD20F0173_6800_NNG15SD80B_8000,68HERD20F0173,NNG15SD80B,0.0,49419.7,0.0,49419.7,0.0,49419.7,ROCKVILLE,MD,FIRM FIXED PRICE,NOT BUNDLED,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,16.0,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
